Team,Points
Liverpool,82
Man City,57
Leicester,53
Chelsea,48
Man United,45
Sheffield United,43
Wolves,43
Tottenham,41
Arsenal,40
Burnley,39
Crystal Palace,39
Everton,37
Newcastle,35
Southampton,34
Brighton,29
West Ham,27
Bournemouth,27
Watford,27
Aston Villa,25
Norwich,21
